52|NUSA TENGGARA BARAT
52.06.05.2014|Rianmau
52.06.06|Sape
52.06.06.2001|Sari
52.06.06.2002|Boke
52.06.06.2003|Jia
52.06.06.2004|Bugis
52.06.06.2005|Naru
52.06.06.2006|Rasabou
52.06.06.2007|Sangia
52.06.06.2008|Na'e
52.06.06.2009|Rai O'i
52.06.06.2010|Parangina
52.06.06.2011|Kowo
52.06.06.2012|Buncu
52.06.06.2013|Poja
52.06.06.2014|Bajo Pulo
52.06.06.2015|Naru Barat
52.06.06.2016|Tanah Putih
52.06.06.2017|Lamera
52.06.06.2018|Oi Maci
52.06.07|Wera
52.06.07.2001|Ntoke
52.06.07.2002|Pai
52.06.07.2003|Nunggi
52.06.07.2004|Tawali
52.06.07.2005|Hadirasa
52.06.07.2006|Wora
52.06.07.2007|Sangiang
52.06.07.2008|Bala
52.06.07.2009|Oi Tui
52.06.07.2010|Tadewa
52.06.07.2011|Nanga Wera
52.06.07.2012|Ranggasolo
52.06.07.2013|Kalajena
52.06.07.2014|Mandala
52.06.08|Donggo
52.06.08.2005|Dori Dungga
52.06.08.2006|Kala
52.06.08.2007|O'o
52.06.08.2008|Mbawa
52.06.08.2009|Palama
52.06.08.2010|Rora
52.06.08.2012|Mpili
52.06.08.2013|Bumi Pajo
52.06.08.2014|Ndano Na'e
52.06.09|Sanggar
52.06.09.2001|Piong
52.06.09.2002|Boro
52.06.09.2003|Kore
52.06.09.2004|Taloko
52.06.09.2005|Oi Saro
52.06.09.2006|Sandue
52.06.10|Ambalawi
52.06.10.2001|Nipa
52.06.10.2002|Tolowata
52.06.10.2003|Rite
52.06.10.2004|Mawu
52.06.10.2005|Talapiti
52.06.10.2006|Kole
52.06.11|Langgudu
52.06.11.2001|Waworada
52.06.11.2002|Karumbu
52.06.11.2003|Rupe
52.06.11.2004|Kalodu
52.06.11.2005|Kawuwu
52.06.11.2006|Doro Oo
52.06.11.2007|Laju
52.06.11.2008|Kangga
52.06.11.2009|Karampi
52.06.11.2010|Waduruka
52.06.11.2011|Dumu
52.06.11.2012|Rompo
52.06.11.2013|Sarae Ruma
52.06.11.2014|Pusu
52.06.11.2015|Sambane
52.06.12|Lambu
52.06.12.2001|Kaleo
52.06.12.2002|Simpasai
52.06.12.2003|Mangge
52.06.12.2004|Lanta
52.06.12.2005|Nggelu
52.06.12.2006|Rato
52.06.12.2007|Sumi
52.06.12.2008|Soro
52.06.12.2009|Lambu
52.06.12.2010|Hidirasa
52.06.12.2011|Lanta Barat
52.06.12.2012|Melayu
52.06.12.2013|Sangga
52.06.12.2014|Monta Baru
52.06.13|Madapangga
52.06.13.2001|Woro
52.06.13.2002|Campa
52.06.13.2003|Mpuri
52.06.13.2004|Ndano
52.06.13.2005|Monggo
52.06.13.2006|Dena
52.06.13.2007|Rade
52.06.13.2008|Tonda
52.06.13.2009|Bolo
52.06.13.2010|Madawau
52.06.13.2011|Ncandi
52.06.14|Tambora
52.06.14.2001|Labuhan Kenanga
52.06.14.2002|Kawinda Nae
52.06.14.2003|Kawinda Toi
52.06.14.2004|Oi Panihi
52.06.14.2005|Oi Bura
52.06.14.2006|Oi Katupa
52.06.14.2007|Rasabou
52.06.15|Soromandi
52.06.15.2001|Bajo
52.06.15.2002|Punti
52.06.15.2003|Wadukopa
52.06.15.2004|Kanata
52.06.15.2005|Sai
52.06.15.2006|Sampungu
52.06.15.2007|Lewintana
52.06.16|Parado
52.06.16.2001|Parado Wane
52.06.16.2002|Parado Rato
52.06.16.2003|Kuta
52.06.16.2004|Kanca
52.06.16.2005|Lere
52.06.17|Lambitu
52.06.17.2001|Kabaro
52.06.17.2002|Kuta
52.06.17.2003|Sambori
52.06.17.2004|Teta
52.06.17.2005|Ka'owa
52.06.17.2006|Londu
52.06.18|Palibelo
52.06.18.2001|Panda
52.06.18.2002|Belo
52.06.18.2003|Tolongondoa
52.06.18.2004|Tonggorisa
52.06.18.2005|Teke
52.06.18.2006|Ntonggu
52.06.18.2007|Nata
52.06.18.2008|Dore
52.06.18.2009|Roi
52.06.18.2011|Ragi
52.06.18.2012|Padolo
52.06.18.2013|Bre
52.07|KAB. SUMBAWA BARAT
52.07.01|Jereweh
52.07.01.2001|Goa
52.07.01.2002|Belo
52.07.01.2003|Beru
52.07.01.2009|Dasan Anyar
52.07.02|Taliwang
52.07.02.1004|Menala
52.07.02.1005|Kuang
52.07.02.1006|Bugis
52.07.02.1007|Dalam
52.07.02.1008|Sampir
52.07.02.1012|Telaga Bertong
52.07.02.1019|Arab Kenangan
52.07.02.2001|Labuhan Lalar
52.07.02.2009|Lalar Liang
52.07.02.2010|Labuhan Kertasari
52.07.02.2011|Seloto
52.07.02.2013|Tamekan
52.07.02.2014|Banjar
52.07.02.2015|Batu Putih
52.07.02.2020|Sermong
52.07.03|Seteluk
52.07.03.2001|Meraran
52.07.03.2002|Air Suning
52.07.03.2003|Rempe
52.07.03.2004|Seteluk Atas
52.07.03.2005|Seteluk Tengah
52.07.03.2008|Kelanir
52.07.03.2011|Tapir
52.07.03.2013|Lamusung
52.07.03.2014|Seran
52.07.03.2015|Desaloka
52.07.04|Sekongkang
52.07.04.2001|Sekongkang Atas
52.07.04.2002|Sekongkang Bawah
52.07.04.2003|Tongo
52.07.04.2004|Ai Kangkung
52.07.04.2005|Tatar
52.07.04.2006|Talonang Baru
52.07.04.2007|Kemuning
52.07.05|Brang Rea
52.07.05.2001|Desa Beru
52.07.05.2002|Tepas
52.07.05.2003|Bangkat Monteh
52.07.05.2004|Sapugara Bree
52.07.05.2005|Tepas Sepakat
52.07.05.2006|Lamuntet
52.07.05.2007|Rarak Ronges
52.07.05.2008|Moteng
52.07.05.2009|Seminar Salit
52.07.06|Poto Tano
52.07.06.2001|Senayan
52.07.06.2002|Mantar
52.07.06.2003|Kiantar
52.07.06.2004|Poto Tano
52.07.06.2005|UPT Tambak Sari
52.07.06.2006|Kokarlian
52.07.06.2007|Tebo
52.07.06.2008|Tuananga
52.07.07|Brang Ene
52.07.07.2001|Mura
52.07.07.2002|Kalimantong
52.07.07.2003|Lampok
52.07.07.2004|Manemeng
52.07.07.2005|Mujahiddin
52.07.07.2006|Mataiyang
52.07.08|Maluk
52.07.08.2001|Maluk
52.07.08.2002|Benete
52.07.08.2003|Bukit Damai
52.07.08.2004|Mantun
52.07.08.2005|Pasir Putih
52.08|KAB. LOMBOK UTARA
52.08.01|Tanjung
52.08.01.2001|Tanjung
52.08.01.2002|Sokong
52.08.01.2003|Jenggala
52.08.01.2004|Tegal Maja
52.08.01.2005|Sigar Penjalin
52.08.01.2006|Medana
52.08.01.2007|Teniga
52.08.02|Gangga
52.08.02.2001|Gondang
52.08.02.2002|Bentek
52.08.02.2003|Genggelang
52.08.02.2004|Rempek
52.08.02.2005|Sambik Bangkol
52.08.03|Kayangan
52.08.03.2001|Kayangan
52.08.03.2002|Santong
52.08.03.2003|Selengen
52.08.03.2004|Sesait
52.08.03.2005|Gumantar
52.08.03.2006|Salut
52.08.03.2007|Dangiang
52.08.03.2008|Pendua
52.08.04|Bayan
52.08.04.2001|Bayan
52.08.04.2002|Loloan
52.08.04.2003|Anyar
52.08.04.2004|Sukadana
52.08.04.2005|Akat Akar
52.08.04.2006|Senaru
52.08.04.2007|Mumbul Sari
52.08.04.2008|Sambik Elen
52.08.04.2009|Karang Bajo
52.08.05|Pemenang
52.08.05.2001|Pemenang Timur
52.08.05.2002|Pemenang Barat
52.08.05.2003|Gili Indah
52.08.05.2004|Malaka
52.71|KOTA MATARAM
52.71.01|Ampenan
52.71.01.1004|Ampenan Selatan
52.71.01.1005|Ampenan Tengah
52.71.01.1006|Pejeruk
52.71.01.1007|Ampenan Utara
52.71.01.1008|Taman Sari
52.71.01.1009|Banjar
52.71.01.1010|Kebun Sari
52.71.01.1011|Pajarakan Karya
52.71.01.1012|Dayan Peken
52.71.01.1013|Bintaro
52.71.02|Mataram
52.71.02.1001|Pagesangan
52.71.02.1002|Mataram Timur
52.71.02.1008|Pagutan
52.71.02.1009|Pagesangan Barat
52.71.02.1010|Pagesangan Timur
52.71.02.1011|Pejanggik
52.71.02.1012|Punia
52.71.02.1013|Pagutan Timur
52.71.02.1014|Pagutan Barat
52.71.03|Cakranegara
52.71.03.1004|Cakranegara Selatan
52.71.03.1005|Cakranegara Barat
52.71.03.1006|Cakranegara Timur
52.71.03.1007|Cakranegara Utara
52.71.03.1009|Sayang-sayang
52.71.03.1010|Cakranegara Selatan Baru
52.71.03.1011|Sapta Marga
52.71.03.1012|Cilinaya
52.71.03.1013|Mayura
52.71.03.1014|Karang Taliwang
52.71.04|Sekarbela
52.71.04.1001|Karang Pule
52.71.04.1002|Tanjung Karang
52.71.04.1003|Jempong Baru
52.71.04.1004|Tanjung Karang Permai
52.71.04.1005|Kekalik Jaya
52.71.05|Selaprang
52.71.05.1001|Mataram Barat
52.71.05.1002|Dasan Agung
52.71.05.1003|Monjok
52.71.05.1004|Karang Baru
52.71.05.1005|Rembiga
52.71.05.1006|Gomong
52.71.05.1007|Dasan Agung Baru
52.71.05.1008|Monjok Timur
52.71.05.1009|Monjok Barat
52.71.06|Sandubaya
52.71.06.1001|Dasan Cermen
52.71.06.1002|Babakan
52.71.06.1003|Bertais
52.71.06.1004|Selagalas
52.71.06.1005|Abian Tubuh Baru
52.71.06.1006|Turida
52.71.06.1007|Mandalika
52.72|KOTA BIMA
52.72.01|RasanaE Barat
52.72.01.1001|Paruga
52.72.01.1002|NaE
52.72.01.1003|SaraE
52.72.01.1004|Tanjung
52.72.01.1013|Pane
52.72.01.1014|Dara
52.72.02|RasanaE Timur
52.72.02.1004|Kumbe
52.72.02.1008|Lampe
52.72.02.1009|Dodu
52.72.02.1011|Nungga
52.72.02.1018|Kodo
52.72.02.1019|Oi Fo'o
52.72.02.1020|Lelamase
52.72.02.1021|Oimbo
52.72.03|Asakota
52.72.03.1001|Melayu
52.72.03.1002|Jatiwangi
52.72.03.1003|Jatibaru
52.72.03.1004|Kolo
52.72.03.1005|Jaibaru Timur
52.72.03.1006|Ole
52.72.04|Raba
52.72.04.1001|Penaraga
52.72.04.1002|Rontu
52.72.04.1003|PenanaE
52.72.04.1004|Kendo
52.72.04.1005|Ntobo
52.72.04.1006|Nitu
52.72.04.1007|Rabangodu Selatan
52.72.04.1008|Rabadompu Timur
52.72.04.1009|Rite
52.72.04.1010|Rabadompu Barat
52.72.04.1011|Rabangodu Utara
52.72.05|Mpunda
52.72.05.1001|Monggonao
52.72.05.1002|Sadia
52.72.05.1003|Santi
52.72.05.1004|Sambinae
52.72.05.1005|Penatoi
52.72.05.1006|Lewirato
52.72.05.1007|Mande
52.72.05.1008|Panggi
52.72.05.1009|Manggemaci
52.72.05.1010|Matakando
