12|SUMATERA UTARA
12.04.10.2016|Oladano
12.04.10.2017|Ahedano
12.04.10.2018|Hilina'a Tafuo
12.04.10.2019|Hiliono Zega
12.04.10.2020|Mondrali
12.04.10.2022|Tetehosi
12.04.10.2023|Saiwahili Hili'adulo
12.04.10.2024|Maliwa'a
12.04.10.2025|Biouti
12.04.10.2026|Awoni Lauso
12.04.10.2027|Bobozioli Loloana'a
12.04.10.2028|Sandruta
12.04.10.2029|Laira
12.04.10.2030|Otalua
12.04.10.2031|Baruzo
12.04.10.2032|Orahili Zuzundrao
12.04.10.2033|Tiga Serangkai Maliwa'a
12.04.10.2034|Hiligogowaya Maliwa'a
12.04.10.2035|Hili'adulo
12.04.10.2036|Hilimoasio Dua
12.04.10.2037|Biouti Timur
12.04.11|Bawolato
12.04.11.2002|Sisarahili Bawolato
12.04.11.2003|Hiliganoita
12.04.11.2004|Gazamanu
12.04.11.2005|Hilihoru
12.04.11.2006|Hilialawa
12.04.11.2007|Hilifaosi
12.04.11.2008|Hiliwarokha
12.04.11.2009|Sitolu Banua
12.04.11.2010|Siofaewali
12.04.11.2011|Sohoya
12.04.11.2012|Botohaenga
12.04.11.2013|Orahili
12.04.11.2014|Tagaule
12.04.11.2015|Siofabanua
12.04.11.2016|Sifaoroasi Ulu Hou
12.04.11.2017|Dahana
12.04.11.2018|Orahua
12.04.11.2019|Banua Sibohou Silima Ewali
12.04.11.2020|Si'ofaewali Selatan
12.04.11.2021|Lagasimahe
12.04.11.2022|Hilihao Cugala
12.04.11.2023|Orahua Faondrato
12.04.11.2024|Hou
12.04.11.2025|Sindrondro
12.04.11.2026|Balale Toba'a
12.04.20|Hiliserangkai
12.04.20.2001|Fadoro Hunogoa
12.04.20.2002|Lolofaoso Lalai
12.04.20.2003|Fulolo Lalai
12.04.20.2004|Lawa-Lawa
12.04.20.2005|Lalai I/II
12.04.20.2006|Lolowua
12.04.20.2007|Dahadano Botombawo
12.04.20.2008|Fadoro Lalai
12.04.20.2009|Lolowua Hiliwarasi
12.04.20.2010|Hilizia Lauru
12.04.20.2011|Ehosakhozi
12.04.20.2012|Awela
12.04.20.2013|Onombongi
12.04.20.2014|Orahili Idanoi
12.04.20.2015|Lolofaoso
12.04.21|Botomuzoi
12.04.21.2001|Hiligodu Botomuzoi
12.04.21.2002|Lasara Botomuzoi
12.04.21.2003|Hiliwaele I
12.04.21.2004|Hilimbowo Botomuzoi
12.04.21.2005|Simanaere Botomuzoi
12.04.21.2006|Hiliwaele II
12.04.21.2007|Tuhegafoa I
12.04.21.2008|Balohili Botomuzoi
12.04.21.2009|Hilihambawa Botomuzoi
12.04.21.2010|Fulolo Botomuzoi
12.04.21.2011|Loloana'a
12.04.21.2012|Ononamolo Talafu
12.04.21.2013|Sisobahili Dola
12.04.21.2014|Banua Sibohou Botomuzoi
12.04.21.2015|Mohili Berua Botomuzoi
12.04.21.2016|Tetehosi Botomuzoi
12.04.21.2017|Talafu
12.04.21.2018|Ola Nori
12.04.27|Ulugawo
12.04.27.2001|Orahili
12.04.27.2002|Hiliwetogela
12.04.27.2003|Lawalawa Luo
12.04.27.2004|Hilimbowo
12.04.27.2005|Hilibadalu
12.04.27.2006|Fatodano
12.04.27.2007|Fahandrona
12.04.27.2008|Onodalinga
12.04.27.2009|Holi
12.04.27.2010|Sisobahili Ulu Gawo
12.04.27.2011|Sifaro'asi Ulu Gawo
12.04.27.2012|Mohili
12.04.27.2013|Hiligafoa
12.04.27.2014|Sisarahili Soroma'asi
12.04.28|Ma'u
12.04.28.2001|Balodano
12.04.28.2002|Lewuoguru II
12.04.28.2003|Sihare'o III
12.04.28.2004|Sisarahilima'u
12.04.28.2005|Lasara Siwalu Banua
12.04.28.2006|Tuhemberua
12.04.28.2007|Atualuo
12.04.28.2008|Lewa Lewa
12.04.28.2009|Dekha
12.04.28.2010|Sihare'o III Bawosalo'o Berua
12.04.28.2011|Sihare'o III Hilibadalu
12.04.29|Somolo-molo
12.04.29.2001|Sisobawino I
12.04.29.2002|I'odano
12.04.29.2003|Huno
12.04.29.2004|Sisaratandrawa
12.04.29.2005|Somolo Molo
12.04.29.2006|Lewuoguru I
12.04.29.2007|Sifaoro Asi
12.04.29.2008|Lewuombanua
12.04.29.2009|Hiligodu Somolo-Molo
12.04.29.2010|Hiliborodano
12.04.29.2011|So'ewali
12.04.35|Sogae'adu
12.04.35.2001|Tuhembuasi
12.04.35.2002|Hilibadalu
12.04.35.2003|La'uri
12.04.35.2004|Hilimbana
12.04.35.2005|Saitagaramba
12.04.35.2006|Sogae'adu
12.04.35.2007|Baruzo
12.04.35.2008|Tulumbaho
12.04.35.2009|Sisarahili Sogae'adu
12.04.35.2010|We'a-we'a
12.04.35.2011|Sihare'o Sogae'adu
12.05|KAB. LANGKAT
12.05.01|Bahorok
12.05.01.1001|Pekan Bahorok
12.05.01.2002|Lau Damak
12.05.01.2003|Timbang Lawan
12.05.01.2004|Sampe Raya
12.05.01.2005|Tanjung Lenggang
12.05.01.2006|Suka Rakyat
12.05.01.2007|Perkebunan Turangi
12.05.01.2008|Perkebunan Bungara
12.05.01.2009|Perkebunan B. Lawang
12.05.01.2011|Empus
12.05.01.2012|Simpang Pulo Rambung
12.05.01.2013|Perkebunan Sei Musam
12.05.01.2014|Batu Jong - Jong
12.05.01.2015|Sematar
12.05.01.2016|Perkebunan Pulo Rambung
12.05.01.2017|Sei Musam Kendit
12.05.01.2020|Timbang Jaya
12.05.01.2021|Musam Pembangunan
12.05.01.2022|Ujung Bandar
12.05.02|Salapian
12.05.02.1007|Tanjung Langkat
12.05.02.2002|Perk. Tj. Keliling
12.05.02.2004|Perk.Gelugur Langkat
12.05.02.2005|Perkebunan Tambunan
12.05.02.2006|Perkebunan Bandar Telu
12.05.02.2008|Naman Jahe
12.05.02.2009|Turangi
12.05.02.2010|Ujung Teran
12.05.02.2011|Pamah Tambunan
12.05.02.2014|Minta Kasih
12.05.02.2019|Ujung Bandar
12.05.02.2020|Lau Tepu
12.05.02.2021|Parangguam
12.05.02.2023|Ponco Warno
12.05.02.2024|Adin Tengah
12.05.02.2025|Lau Lugur
12.05.02.2026|Pancur Ido
12.05.03|Kuala
12.05.03.1001|Pekan Kuala
12.05.03.1019|Bela Rakyat
12.05.03.2002|Dalan Naman
12.05.03.2003|Balai Kasih
12.05.03.2004|Bekiung
12.05.03.2005|Blankahan
12.05.03.2006|Besadi
12.05.03.2007|Beruam
12.05.03.2009|Raja Tengah
12.05.03.2011|Namo Mbelin
12.05.03.2012|Parit Bindu
12.05.03.2013|Sei Penjara
12.05.03.2015|Perkebunan Bekiun
12.05.03.2016|Garunggang
12.05.03.2017|Suka Damai
12.05.03.2018|Sido Makmur
12.05.04|Sei Bingei
12.05.04.1005|Namu Ukur Selatan
12.05.04.2001|Telagah
12.05.04.2002|Rumah Galuh
12.05.04.2003|Simpang Kuta Buluh
12.05.04.2004|Gunung Ambat
12.05.04.2006|Belinten
12.05.04.2007|Namu Ukur Utara
12.05.04.2008|Pasar VI Kwala Mencirim
12.05.04.2009|Emplasmen Kwala Mencirim
12.05.04.2010|Pursobinangun
12.05.04.2011|Pasar IV.Namo Terasi
12.05.04.2012|Pasar VIII.Namo Terasi
12.05.04.2013|Durian Lingga
12.05.04.2014|Pekan Sawah
12.05.04.2015|Tanjung Gunung
12.05.04.2016|Mekar Jaya
12.05.05|Binjai
12.05.05.1001|Kwala Begumit
12.05.05.2002|Sambi Rejo
12.05.05.2003|Sendang Rejo
12.05.05.2004|Tanjung Jati
12.05.05.2005|Sidomulyo
12.05.05.2006|Perdamaian
12.05.05.2007|Suka Makmur
12.05.06|Selesai
12.05.06.1001|Pekan Selesai
12.05.06.2002|Sei Limbat
12.05.06.2003|Padang Brahrang
12.05.06.2004|Tanjung Merahe
12.05.06.2005|Nambiki
12.05.06.2006|Lau Mulgab
12.05.06.2007|Kuta Parit
12.05.06.2008|Bekulap
12.05.06.2009|Perhiasan
12.05.06.2010|Selayang
12.05.06.2011|Mancang
12.05.06.2012|Kwala Air Hitam
12.05.06.2013|Padang Cermin
12.05.06.2014|Selayang Baru
12.05.07|Stabat
12.05.07.1004|Perdamaian
12.05.07.1005|Kwala Bingai
12.05.07.1006|Sidomulyo
12.05.07.1010|Stabat Baru
12.05.07.1011|Dendang
12.05.07.1012|Paya Mabar
12.05.07.2001|Karang Rejo
12.05.07.2002|Kwala Begumit
12.05.07.2003|Mangga
12.05.07.2007|Banyumas
12.05.07.2008|Pantai Gemi
12.05.07.2009|Ara Condong
12.05.08|Wampu
12.05.08.1001|Bingai
12.05.08.2002|Gohor Lama
12.05.08.2003|Stabat Lama
12.05.08.2004|Besilam Bukit Lembasa
12.05.08.2005|Kebun Balok
12.05.08.2006|Bukit Melintang
12.05.08.2007|Gergas
12.05.08.2008|Stabat Lama Barat
12.05.08.2009|Sumber Mulyo
12.05.08.2010|Pertumbukan
12.05.08.2011|Paya Tusam
12.05.08.2012|Mekar Jaya
12.05.08.2013|Jentera Stabat
12.05.08.2014|Stungkit
12.05.09|Secanggang
12.05.09.1004|Hinai Kiri
12.05.09.2001|Kepala Sungai
12.05.09.2002|Teluk
12.05.09.2003|Cinta Raja
12.05.09.2005|Kebun Kelapa
12.05.09.2006|Sungai Ular
12.05.09.2007|Tanjung Ibus
12.05.09.2008|Secanggang
12.05.09.2009|Selotong
12.05.09.2010|Karang Gading
12.05.09.2011|Jaring Halus
12.05.09.2012|Telaga Jernih
12.05.09.2013|Perkotaan
12.05.09.2014|Kwala Besar
12.05.09.2015|Karang Anyar
12.05.09.2016|Pantai Gading
12.05.09.2017|Suka Mulia
12.05.10|Hinai
12.05.10.1008|Kebun Lada
12.05.10.2001|Cempa
12.05.10.2002|Batu Malenggang
12.05.10.2003|Tamaran
12.05.10.2004|Tanjung Mulya
12.05.10.2005|Muka Paya
12.05.10.2006|Hinai Kanan
12.05.10.2007|Suka Damai
12.05.10.2009|Baru Pasar VIII
12.05.10.2010|Perkebunan Tanjung Beringin
12.05.10.2011|Suka Jadi
12.05.10.2012|Paya Rengas
12.05.10.2013|Suka Damai Timur
12.05.11|Tanjung Pura
12.05.11.1005|Pekan Tanjung Pura
12.05.11.2001|Serapuh Asli
12.05.11.2002|Pematang Tengah
12.05.11.2003|Paya Perupuk
12.05.11.2004|Lalang
12.05.11.2006|Pekubuan
12.05.11.2007|Teluk Bakung
12.05.11.2008|Pantai Cermin
12.05.11.2009|Pematang Serai
12.05.11.2010|Baja Kuning
12.05.11.2011|Pulau Banyak
12.05.11.2012|Pematang Cengal
12.05.11.2013|Kwala Serapuh
12.05.11.2014|Kwala Langkat
12.05.11.2015|Bubun
12.05.11.2016|Tapak Kuda
12.05.11.2017|Suka Maju
12.05.11.2018|Karya Maju
12.05.11.2019|Pematang Cengal Barat
12.05.12|Padang Tualang
12.05.12.1006|Tanjung Selamat
12.05.12.2001|Serapuh ABC
12.05.12.2002|Padang Tualang
12.05.12.2003|Kwala Besilam
12.05.12.2004|Buluh Telang
12.05.12.2005|Besilam
12.05.12.2007|Tebing Tanjung Selamat
12.05.12.2008|Tanjung Putus
12.05.12.2009|Suka Ramai
12.05.12.2010|Jati Sari
12.05.12.2011|Banjar Jaya
12.05.12.2012|Bukit Sari
12.05.13|Gebang
12.05.13.1001|Pekan Gebang
12.05.13.2002|Paluh Manis
12.05.13.2003|Pasar Rawa
12.05.13.2004|Padang Langkat
12.05.13.2005|Air Hitam
12.05.13.2006|Paya Bengkuang
12.05.13.2007|Dogang
12.05.13.2008|Sangga Lima
12.05.13.2009|Kwala Gebang
12.05.13.2010|Bukit Mengkirai
12.05.13.2011|Pasiran
12.05.14|Babalan
12.05.14.1001|Pelawi Utara
12.05.14.1006|Berandan Barat
12.05.14.1007|Berandan Timur Baru
12.05.14.1008|Berandan Timur
12.05.14.2002|Securai Utara
12.05.14.2003|Teluk Meku
12.05.14.2004|Pelawi Selatan
12.05.14.2005|Securai Selatan
12.05.15|Pangkalan Susu
12.05.15.1009|Beras Basah
12.05.15.1010|Bukit Jengkol
12.05.15.2001|Alur Cempedak
12.05.15.2002|Sei Siur
12.05.15.2003|Tanjung Pasar
12.05.15.2004|Paya Tampak
12.05.15.2005|Pintu Air
12.05.15.2006|Sei Meran
12.05.15.2007|Pulau Sembilan
12.05.15.2008|Pulau Kampai
12.05.15.2011|Pangkalan Siata
12.05.16|Besitang
12.05.16.1009|Pekan Besitang
12.05.16.1010|Bukit Kubu
12.05.16.1011|Kampung Lama
12.05.16.2001|Halaban
12.05.16.2002|Bukit Mas
12.05.16.2005|Pir ABD Besitang
12.05.16.2006|Sekoci
12.05.16.2007|Suka Jaya
12.05.16.2008|Bukit Selamat
12.05.17|Sei Lepan
12.05.17.1001|Sei Bilah
12.05.17.1002|Alur Dua
12.05.17.1008|Alur Dua Baru
12.05.17.1009|Harapan Jaya
12.05.17.1010|Sei Bilah Timur
12.05.17.2003|Puraka I
12.05.17.2004|Puraka II
12.05.17.2005|Lama
12.05.17.2006|Telaga Said
12.05.17.2007|Lama Baru
12.05.17.2011|Mekar Makmur
12.05.17.2012|Harapan Baru
12.05.17.2013|Harapan Maju
12.05.17.2014|Harapan Makmur
12.05.18|Berandan Barat
12.05.18.1001|Tangkahan Durian
12.05.18.1004|Pangkalan Batu
12.05.18.2002|Sei Tualang
12.05.18.2003|Lubuk Kasih
12.05.18.2005|Lubuk Kertang
12.05.18.2006|Perlis
12.05.18.2007|Kelantan
12.05.19|Batang Serangan
12.05.19.1001|Batang Serangan
12.05.19.2002|Sei Bamban
12.05.19.2003|Sei Musam
12.05.19.2004|Sei Serdang
12.05.19.2005|Namo Sialang
12.05.19.2006|Kwala Musam
12.05.19.2007|Karya Jadi
12.05.19.2008|Paluh Pakeh Babussalam
12.05.20|Sawit Seberang
12.05.20.1001|Sawit Seberang
12.05.20.2002|Alur Gadung
12.05.20.2003|Simpang Tiga
12.05.20.2004|Sei Litur Tasik
12.05.20.2005|Sawit Hulu
12.05.20.2006|Mekar Sawit
12.05.20.2007|Alur Melati
12.05.21|Sirapit
12.05.21.2001|Serapit
12.05.21.2002|Gunung Tinggi
12.05.21.2003|Sidorejo
12.05.21.2004|Suka Pulung
12.05.21.2005|Aman Damai
12.05.21.2006|Tanjung Kariahan
12.05.21.2007|Sebertung
12.05.21.2008|Pulau Semikat
12.05.21.2009|Sumber Jaya
12.05.21.2010|Perkebunan Amal Tani
12.05.22|Kutambaru
12.05.22.2001|Namotogan
12.05.22.2002|Kuta Gajah
12.05.22.2003|Perkebunan Marike
12.05.22.2004|Kaperas
12.05.22.2005|Namoteras
12.05.22.2006|Rampah
12.05.22.2007|Sulkam
12.05.22.2008|Kutambaru
12.05.23|Pematang Jaya
12.05.23.2001|Pematang Tengah
12.05.23.2002|Damar Condong
12.05.23.2003|Perkebunan Damar Condong
12.05.23.2004|Perkebunan Perapen
12.05.23.2005|Limau Mungkur
12.05.23.2006|Serang Jaya Hilir
12.05.23.2007|Serang Jaya
12.05.23.2008|Sala Haji
12.06|KAB. KARO
12.06.01|Kabanjahe
12.06.01.1009|Padang Mas
12.06.01.1010|Lau Cimba
12.06.01.1011|Gung Leto
12.06.01.1012|Gung Negeri
12.06.01.1013|Kampung Dalam
12.06.01.2001|Rumah Kabanjahe
12.06.01.2002|Kaban
12.06.01.2003|Ketaren
12.06.01.2004|Samura
12.06.01.2005|Lau Simomo
12.06.01.2006|Sumber Mufakat
12.06.01.2007|Kandibata
12.06.01.2008|Kacaribu
12.06.02|Berastagi
12.06.02.1006|Tambak Lau Mulgap I
12.06.02.1007|Tambak Lau Mulgap II
12.06.02.1008|Gundaling I
12.06.02.1009|Gundaling II
12.06.02.2001|Doulu
12.06.02.2002|Gurusinga
12.06.02.2003|R a y a
12.06.02.2004|Rumah Berastagi
12.06.02.2005|Sempajaya
12.06.02.2010|Lau Gumba
12.06.03|Barusjahe
12.06.03.2001|Paribun
12.06.03.2002|Rumamis
12.06.03.2003|Sinaman
12.06.03.2004|Sukanalu
12.06.03.2005|Barusjulu
12.06.03.2006|Tangkidik
12.06.03.2007|Sukajulu
12.06.03.2008|Barusjahe
12.06.03.2009|Bulanjahe
12.06.03.2010|Pertumbuken
12.06.03.2011|Talimbaru
12.06.03.2012|Sikab
12.06.03.2013|Persadanta
12.06.03.2014|Bulanjulu
12.06.03.2015|Semangat
12.06.03.2016|Serdang
12.06.03.2017|Tanjung Barus
12.06.03.2018|Sarimanis
12.06.03.2019|Penampen
12.06.04|Tigapanah
12.06.04.2001|Kutakepar
12.06.04.2002|Ajijulu
12.06.04.2004|Singa
12.06.04.2007|Ajijahe
12.06.04.2008|Bunuraya
12.06.04.2010|Kubusimbelang
12.06.04.2011|Tigapanah
12.06.04.2012|Suka
12.06.04.2014|Kacinambun
12.06.04.2015|Kutajulu
12.06.04.2016|Bertah
12.06.04.2017|Manukmulia
12.06.04.2018|Lauriman
12.06.04.2019|Sukadame
12.06.04.2020|Mulawari
12.06.04.2023|Sukamaju
12.06.04.2024|Kutambelin
12.06.04.2025|Kutabale
12.06.04.2026|Leparsamura
12.06.04.2027|Seberaya
12.06.04.2028|Ajimbelang
12.06.04.2029|Ajibuhara
12.06.04.2030|Lambar
12.06.04.2031|Salit
12.06.04.2032|Suka Mbayak
12.06.04.2033|Suka Sipilihen
12.06.05|Merek
12.06.05.2001|Pertibi Tembe
12.06.05.2002|Negeri Tongging
12.06.05.2003|Kodon-Kodon
12.06.05.2004|Dokan
12.06.05.2005|Nagara
12.06.05.2006|Sibolangit
12.06.05.2007|Sukamandi
12.06.05.2008|Nagalingga
12.06.05.2009|Pangambatan
12.06.05.2010|Tongging
12.06.05.2011|Pertibi Lama
12.06.05.2012|Regaji
12.06.05.2013|Ajinembah
12.06.05.2014|Situnggaling
12.06.05.2015|Garingging
12.06.05.2016|Mulia Rayat
12.06.05.2017|Bandar Tongging
12.06.05.2018|Pancur Batu
12.06.05.2019|Merek
12.06.06|Munte
12.06.06.2001|Nageri
12.06.06.2002|Munte
12.06.06.2003|Kineppen
12.06.06.2004|Bandar Meriah
12.06.06.2005|Barung Kersap
12.06.06.2006|Kutambaru
12.06.06.2007|Buluhnaman
12.06.06.2008|Singgamanik
12.06.06.2009|Kuta Gerat
12.06.06.2010|Pertumbungen
12.06.06.2011|Sarimunte
12.06.06.2012|Kaban Tua
12.06.06.2013|Gunung Manumpak
12.06.06.2014|Tanjung Beringin
12.06.06.2015|Kuta Suah
12.06.06.2016|Sarinembah
12.06.06.2017|Selakkar
12.06.06.2018|Parimbalang
12.06.06.2019|Gunung Saribu
12.06.06.2020|Sukarame
12.06.06.2021|Gurubenua
12.06.06.2022|Biaknampe
12.06.07|Juhar
12.06.07.2001|Juhar Perangin-angin
12.06.07.2002|Lau Lingga
12.06.07.2003|Kidupen
12.06.07.2004|Namosuro
12.06.07.2005|Bekilang
12.06.07.2006|Sugihen
12.06.07.2007|Pernantin
12.06.07.2008|Nageri
12.06.07.2009|Juhar Ginting
12.06.07.2010|Juhar Tarigan
12.06.07.2011|Pasar Baru
12.06.07.2012|Batu Mamak
12.06.07.2013|Naga
12.06.07.2014|Kutambelin
12.06.07.2015|Mbetong
12.06.07.2016|Keriahen
12.06.07.2017|Gunung Juhar
12.06.07.2018|Ketawaren
12.06.07.2019|Jandi
12.06.07.2020|Buluh Pancur
12.06.07.2021|Kutagugung
12.06.07.2022|Sukababo
12.06.07.2023|Lau Kidupen
12.06.07.2024|Sigenderang
12.06.07.2025|Juhar Ginting Sadanioga
12.06.08|Tigabinanga
12.06.08.1019|Tiga Binanga
12.06.08.2001|Gunung
12.06.08.2002|Kem Kem
12.06.08.2003|Pertumbuken
12.06.08.2004|Kuala
12.06.08.2005|Limang
12.06.08.2006|Perbesi
12.06.08.2007|Lau Kapur
12.06.08.2008|Kuta Bangun
12.06.08.2009|Kuta Raya
12.06.08.2010|Pergendangen
12.06.08.2011|Simolap
12.06.08.2012|Simpang Pergendangen
12.06.08.2013|Kuta Gerat
12.06.08.2014|Suka Julu
12.06.08.2015|Kuta Galoh
12.06.08.2016|Bunga Baru
12.06.08.2017|Kutambaru Punti
12.06.08.2018|Kuta Buara
12.06.08.2020|Batumamak
12.06.09|Laubaleng
12.06.09.2001|Martelu
12.06.09.2002|Mbal-Mbal Petarum
12.06.09.2003|Lau Peranggunen
12.06.09.2004|Tanjung Gunung
12.06.09.2005|Lau Baleng
12.06.09.2006|Durin Rugun
12.06.09.2007|Perbulan
12.06.09.2008|Kutambelin
12.06.09.2009|Lingga Muda
12.06.09.2010|Kinangkong
12.06.09.2011|Rambah Tampu
12.06.09.2012|Lau Peradep
12.06.09.2013|Buluh Pancur
12.06.09.2014|Batu Rongkam
12.06.09.2015|Pintu Angin
12.06.10|Mardingding
12.06.10.2001|Lau Pengulu
12.06.10.2002|Lau Mulgap
12.06.10.2003|Lau Kesumpat
12.06.10.2004|Rimo Bunga
12.06.10.2005|Tanjung Pamah
12.06.10.2006|Kuta Pengkih
12.06.10.2007|Bandar Purba
12.06.10.2008|Mardingding
12.06.10.2009|Lau Pakam
12.06.10.2010|Lau Solu
12.06.10.2011|Lau Garut
12.06.10.2012|Bukit Makmur
12.06.11|Payung
12.06.11.2001|Payung
12.06.11.2004|Rimo Kayu
12.06.11.2005|Sukameriah
12.06.11.2007|Selandi
12.06.11.2012|Batukarang
12.06.11.2015|Gurukinayan
12.06.11.2017|Cimbang
12.06.11.2025|Ujung Payung
12.06.12|Simpang Empat
12.06.12.2005|Kutatengah
12.06.12.2006|Tigapancur
12.06.12.2007|Pintumbesi
12.06.12.2009|Gamber
12.06.12.2012|Sirumbia
12.06.12.2014|Ndokumsiroga
12.06.12.2016|Linggajulu
12.06.12.2017|Gajah
12.06.12.2018|Lingga
12.06.12.2019|Nangbelawan
12.06.12.2022|Beganding
12.06.12.2024|Torong
12.06.12.2025|Berastepu
12.06.12.2026|Surbakti
12.06.12.2028|Jeraya
12.06.12.2030|Perteguhen
12.06.12.2035|Bulanbaru
12.06.13|Kutabuluh
12.06.13.2001|Negeri Jahe
12.06.13.2002|Kutabuluh Gugung
12.06.13.2003|Siabang-abang
12.06.13.2004|Lau Buluh
12.06.13.2005|Bintang Meriah
12.06.13.2006|Jinabun
12.06.13.2007|Kuta Male
12.06.13.2008|Ujung Deleng
12.06.13.2009|Gunung Meriah
12.06.13.2010|Buah Raya
12.06.13.2011|Tanjung Merahe
12.06.13.2012|Rih Tengah
12.06.13.2013|Kutabuluh
12.06.13.2014|Liang Merdeka
12.06.13.2015|Pola Tebu
12.06.13.2016|Mburidi
12.06.14|Dolat Rayat
12.06.14.2001|Kubucolia
12.06.14.2002|Ujung Sampun
12.06.14.2003|Bukit
12.06.14.2004|Melas
12.06.14.2005|Sampun
12.06.14.2006|Sugihen
12.06.14.2007|Dolat Rayat
12.06.15|Merdeka
12.06.15.2001|Cinta Rakyat
12.06.15.2002|Semangat
12.06.15.2003|Ujung Teran
12.06.15.2004|Gongsol
12.06.15.2005|Jaranguda
12.06.15.2006|Semangat Gunung
12.06.15.2007|Deram
12.06.15.2008|Merdeka
12.06.15.2009|Sadaperarih
12.06.16|Naman Teran
12.06.16.2001|Simacem
12.06.16.2002|Kutagugung
12.06.16.2003|Kuta Tonggal
12.06.16.2004|Naman
12.06.16.2005|Sukanalu
12.06.16.2006|Kebayaken
12.06.16.2007|Kutarayat
12.06.16.2008|Bekerah
12.06.16.2009|Sukandebi
12.06.16.2010|Gung Pinto
12.06.16.2011|Kutambelin
12.06.16.2012|Ndeskati
12.06.16.2013|Sukatepu
12.06.16.2014|Sigarang-garang
12.06.17|Tiganderket
12.06.17.2001|Sukatendel
12.06.17.2002|Mardingding
12.06.17.2003|Kutagaluh
12.06.17.2004|Kutambaru
12.06.17.2005|Jandimeriah
12.06.17.2006|Tiganderket
12.06.17.2007|Tanjung Pulo
12.06.17.2008|Tanjung Merawa
12.06.17.2009|Perbaji
12.06.17.2010|Temburun
12.06.17.2011|Kutakepar
12.06.17.2012|Penampen
12.06.17.2013|Tanjung Mbelang
12.06.17.2014|Narigunung I
12.06.17.2015|Narigunung II
12.06.17.2016|Gunung Merlawan
12.06.17.2017|Susuk
12.07|KAB. DELI SERDANG
12.07.01|Gunung Meriah
12.07.01.2001|Kuta Bayu
12.07.01.2002|Gunung Paribuan
12.07.01.2003|Simempar
12.07.01.2004|Gunung Seribu
12.07.01.2005|Gunung Sinembah
12.07.01.2006|Bintang Meriah
12.07.01.2007|Kuta Tengah
12.07.01.2008|Pekan Gunung Mariah
12.07.01.2009|Gunung Meriah
12.07.01.2010|Ujung Meriah
12.07.01.2011|Marjandi Pematang
12.07.01.2012|Marjandi Tongah
12.07.02|Tanjung Morawa
12.07.02.1026|Pekan Tg Morawa
12.07.02.2001|Medan Sinembah
12.07.02.2002|Ujung Serdang
12.07.02.2003|Limau Manis
12.07.02.2004|Bandar Labuhan
12.07.02.2005|Bangun Rejo
12.07.02.2006|Aek Pancur
12.07.02.2007|Sei Merah
12.07.02.2008|Naga Timbul
12.07.02.2009|Langau Seprang
12.07.02.2010|Tanjung Mulia
12.07.02.2011|Punden Rejo
12.07.02.2012|Tanjung Morawa B
12.07.02.2013|Dagang Kerawan
12.07.02.2014|Tanjung Morawa A
12.07.02.2015|Buntu Badimbar
12.07.02.2016|Bangun Sari
12.07.02.2017|Dagang Kelambir
12.07.02.2018|Dalu Sepuluh-A
12.07.02.2019|Dalu Sepuluh-B
12.07.02.2020|Wonosari
12.07.02.2021|Perdamean
12.07.02.2022|Penara Kebun
12.07.02.2023|Bangun Sari Baru
12.07.02.2024|Telaga Sari
12.07.02.2025|Tanjung Baru
12.07.03|Sibolangit
12.07.03.2001|Bandar Baru
12.07.03.2002|Batu Layang
12.07.03.2003|Batu Mbelin
12.07.03.2004|Betimus Mbaru
12.07.03.2005|Bengkurung
12.07.03.2006|Bingkawan
12.07.03.2007|Buah Nabar
12.07.03.2008|Bukum
12.07.03.2009|Buluh Awar
12.07.03.2010|Cinta Rakyat
12.07.03.2011|Durin Serugun
12.07.03.2012|Ketangkuhen
12.07.03.2013|Kuala
12.07.03.2014|Martelu
12.07.03.2015|Negeri Gugung
12.07.03.2016|Puangaja
12.07.03.2017|Rumah Kinangkung SP
12.07.03.2018|Rambung Baru
12.07.03.2019|Rumah Pil Pil
12.07.03.2020|Rumah Sumbul
12.07.03.2021|Sala Bulan
12.07.03.2022|Sayum Sabah
12.07.03.2023|Sembahe
12.07.03.2024|Sibolangit
12.07.03.2025|Sikeben
12.07.03.2026|Suka Maju
12.07.03.2027|Suka Makmur
12.07.03.2028|Tambunen
12.07.03.2029|Tanjung Beringin
12.07.03.2030|Ujung Deleng
12.07.04|Kutalimbaru
12.07.04.2001|Suka Makmur
12.07.04.2002|Namo Mirik
12.07.04.2003|Suka Dame
12.07.04.2004|Pasar X
12.07.04.2005|Perpanden
12.07.04.2006|Kutalimbaru
12.07.04.2007|Sampe Cita
12.07.04.2008|Suka Rende
12.07.04.2009|Kwala Lau Bicik
12.07.04.2010|Lau Bakeni
12.07.04.2011|Silebo Lebo
12.07.04.2012|Sawit Rejo
12.07.04.2013|Namo Rube Julu
12.07.04.2014|Sei Mencirim
12.07.05|Pancur Batu
12.07.05.2001|Bintang Meriah
12.07.05.2002|Sugau
12.07.05.2003|Tiang Layar
12.07.05.2004|Durin Simbelang
12.07.05.2005|Namo Riam
12.07.05.2006|Durin Tonggal
12.07.05.2007|Hulu
12.07.05.2008|Pertampilen
12.07.05.2009|Salam Tani
12.07.05.2010|Tengah
12.07.05.2011|Namo Simpur
12.07.05.2012|Simalingkar A
12.07.05.2013|Namo Bintang
12.07.05.2014|Lama
12.07.05.2015|Namorih
12.07.05.2016|Tuntungan I
12.07.05.2017|Gunung Tinggi
