13|SUMATERA BARAT
13.08.14|Rao
13.08.14.2002|Taruang Taruang
13.08.14.2005|Padang Mantinggi
13.08.15|Mapat Tunggul Selatan
13.08.15.2001|Silayang
13.08.15.2002|Muaro Sungai Lolo
13.08.16|Simpang Alahan Mati
13.08.16.2001|Alahan Mati
13.08.16.2002|Simpang
13.08.17|Padang Gelugur
13.08.17.2001|Padang Gelugur
13.08.17.2002|Sontang Cubadak
13.08.17.2003|Sitombol Padang Gelugua
13.08.17.2004|Bahagia Padang Gelugua
13.08.18|Rao Utara
13.08.18.2001|Koto Nopan
13.08.18.2002|Koto Rajo
13.08.18.2003|Languang
13.08.19|Rao Selatan
13.08.19.2001|Lansek Kadok
13.08.19.2002|Lubuak Layang
13.08.19.2003|Tanjung Betung
13.09|KAB. KEPULAUAN MENTAWAI
13.09.01|Pagai Utara
13.09.01.2007|Betumonga
13.09.01.2008|Silabu
13.09.01.2009|Saumanganya
13.09.02|Sipora Selatan
13.09.02.2001|Bosua
13.09.02.2002|Beriulou
13.09.02.2003|Nemnemleleu
13.09.02.2004|Mara
13.09.02.2006|Sioban
13.09.02.2007|Matobe
13.09.02.2008|Saureinu
13.09.03|Siberut Selatan
13.09.03.2002|Muara Siberut
13.09.03.2003|Maileppet
13.09.03.2004|Muntei
13.09.03.2005|Matotonan
13.09.03.2007|Madobag
13.09.04|Siberut Utara
13.09.04.2003|Bojakan
13.09.04.2004|Sotboyak
13.09.04.2005|Mongan Poula
13.09.04.2006|Muara Sikabaluan
13.09.04.2007|Sirilogui
13.09.04.2008|Malancan
13.09.05|Siberut Barat
13.09.05.2001|Simatalu
13.09.05.2002|Simalegi
13.09.05.2003|Sigapokna
13.09.06|Siberut Barat Daya
13.09.06.2001|Katurei
13.09.06.2002|Sagulubbeg
13.09.06.2003|Pasakiat Taileleu
13.09.07|Siberut Tengah
13.09.07.2001|Saibi Samukop
13.09.07.2002|Cimpungan
13.09.07.2003|Saliguma
13.09.08|Sipora Utara
13.09.08.2001|Betumonga
13.09.08.2002|Goisooinan
13.09.08.2003|Tuapejat
13.09.08.2004|Sido Makmur
13.09.08.2005|Bukit Pamewa
13.09.08.2006|Sipora Jaya
13.09.09|Sikakap
13.09.09.2001|Sikakap
13.09.09.2002|Taikako
13.09.09.2003|Matobe
13.09.10|Pagai Selatan
13.09.10.2001|Sinaka
13.09.10.2002|Bulasat
13.09.10.2003|Malakopa
13.09.10.2004|Makalo
13.10|KAB. DHARMASRAYA
13.10.01|Koto Baru
13.10.01.2002|Koto Baru
13.10.01.2003|Sialang Gaung
13.10.01.2005|Ampang Kuranji
13.10.01.2008|Koto Padang
13.10.02|Pulau Punjung
13.10.02.2001|Sungai Dareh
13.10.02.2002|Tebing Tinggi
13.10.02.2006|Empat Koto Pulau Punjung
13.10.02.2007|Sungai Kambut
13.10.02.2008|Gunung Selasih
13.10.02.2009|Sikabau
13.10.03|Sungai Rumbai
13.10.03.2003|Sungai Rumbai
13.10.03.2004|Kurnia Koto Salak
13.10.03.2007|Sungai Rumbai Timur
13.10.03.2008|Kurnia Selatan
13.10.04|Sitiung
13.10.04.2001|Sitiung
13.10.04.2002|Siguntur
13.10.04.2004|Gunung Medan
13.10.04.2005|Sungai Duo
13.10.05|Sembilan Koto
13.10.05.2001|Silago
13.10.05.2002|Lubuak Karak
13.10.05.2003|Koto Nan Empat Dibawuh
13.10.05.2004|Banai
13.10.06|Timpeh
13.10.06.2001|Timpeh
13.10.06.2002|Taratak Tinggi
13.10.06.2003|Tabek
13.10.06.2004|Panyubarangan
13.10.06.2005|Ranah Palabi
13.10.07|Koto Salak
13.10.07.2001|Koto Salak
13.10.07.2002|Ampalu
13.10.07.2003|Padukuan
13.10.07.2004|Pulau Mainan
13.10.07.2005|Simalidu
13.10.08|Tiumang
13.10.08.2001|Tiumang
13.10.08.2002|Sungai Langkok
13.10.08.2003|Koto Beringin
13.10.08.2004|Sipangkur
13.10.09|Padang Laweh
13.10.09.2001|Padang Laweh
13.10.09.2002|Batu Rijal
13.10.09.2003|Muaro Sopan
13.10.09.2004|Sopan Jaya
13.10.10|Asam Jujuhan
13.10.10.2001|Sungai Limau
13.10.10.2002|Alahan Nan Tigo
13.10.10.2003|Lubuk Besar
13.10.10.2004|Tanjung Alam
13.10.10.2005|Sinamar
13.10.11|Koto Besar
13.10.11.2001|Koto Besar
13.10.11.2002|Koto Tinggi
13.10.11.2003|Koto Gadang
13.10.11.2004|Bonjol
13.10.11.2005|Abai Siat
13.10.11.2006|Koto Laweh
13.10.11.2007|Koto Ranah
13.11|KAB. SOLOK SELATAN
13.11.01|Sangir
13.11.01.2001|Lubuk Gadang
13.11.01.2002|Lubuk Gadang Timur
13.11.01.2003|Lubuk Gadang Selatan
13.11.01.2004|Lubuk Gadang Utara
13.11.02|Sungai Pagu
13.11.02.2001|Pasir Talang
13.11.02.2002|Koto Baru
13.11.02.2004|Sako Pasia Talang
13.11.02.2005|Pasar Muara Labuh
13.11.02.2006|Pulakek Koto Baru
13.11.02.2007|Bomas
13.11.02.2008|Sako Utara Pasia Talang
13.11.02.2009|Sako Selatan Pasia Talang
13.11.02.2010|Pasir Talang Barat
13.11.02.2011|Pasir Talang Timur
13.11.02.2012|Pasir Talang Selatan
13.11.03|Koto Parik Gadang Diateh
13.11.03.2001|Pakan Rabaa
13.11.03.2002|Pakan Rabaa Timur
13.11.03.2003|Pakan Rabaa Utara
13.11.03.2004|Pakan Rabaa Tengah
13.11.04|Sangir Jujuan
13.11.04.2001|Lubuk Malako
13.11.04.2002|Bidar Alam
13.11.04.2004|Padang Air Dingin
13.11.04.2005|Padang Limau Sundai
13.11.04.2006|Padang Gantiang
13.11.05|Sangir Batang Hari
13.11.05.2001|Abai
13.11.05.2002|Dusun Tangah
13.11.05.2003|Lubuk Ulang Aling
13.11.05.2004|Ranah Pantai Cermin
13.11.05.2005|Sitapus
13.11.05.2006|Lubuk Ulang Aling Selatan
13.11.05.2007|Lubuk Ulang Aling Tengah
13.11.06|Pauh Duo
13.11.06.2001|Alam Pauh Duo
13.11.06.2002|Kapau Alam Pauh Duo
13.11.06.2003|Luak Kapau Alam Pauh Duo
13.11.06.2004|Pauh Duo Nan Batigo
13.11.07|Sangir Balai Janggo
13.11.07.2001|Sungai Kunyit
13.11.07.2002|Talao Sungai Kunyit
13.11.07.2003|Sungai Kunyit Barat
13.11.07.2004|Talunan Maju
13.12|KAB. PASAMAN BARAT
13.12.01|Sungaiberemas
13.12.01.2001|Aia Bangih
13.12.02|Lembah Melintang
13.12.02.2001|Ujung Gading
13.12.03|Pasaman
13.12.03.2003|Lingkuang Aua
13.12.03.2004|Aua Kuniang
13.12.03.2006|Aia Gadang
13.12.04|Talamau
13.12.04.2001|Kajai
13.12.04.2002|Talu
13.12.04.2003|Sinuruik
13.12.05|Kinali
13.12.05.2001|Kinali
13.12.05.2002|Katiagan
13.12.06|Gunungtuleh
13.12.06.2001|Muaro Kiawai
13.12.06.2002|Rabi Jonggor
13.12.07|Ranah Batahan
13.12.07.2001|Batahan
13.12.07.2002|Desa Baru
13.12.08|Koto Balingka
13.12.08.2001|Parit
13.12.09|Sungaiaur
13.12.09.2001|Sungai Aua
13.12.10|Luhak Nan Duo
13.12.10.2001|Koto Baru
13.12.10.2002|Kapa
13.12.11|Sasak Ranah Pesisir
13.12.11.2001|Sasak
13.71|KOTA PADANG
13.71.01|Padang Selatan
13.71.01.1001|Belakang Pondok
13.71.01.1002|Alang Laweh
13.71.01.1003|Ranah Parak Rumbio
13.71.01.1004|Pasa Gadang
13.71.01.1005|Batang Arau
13.71.01.1006|Seberang Palinggam
13.71.01.1007|Seberang Padang
13.71.01.1008|Mata Air
13.71.01.1009|Rawang
13.71.01.1010|Teluk Bayur
13.71.01.1011|Air Manis
13.71.01.1012|Bukit Gado-gado
13.71.02|Padang Timur
13.71.02.1001|Sawahan
13.71.02.1002|Jati Baru
13.71.02.1003|Jati
13.71.02.1004|Sawahan Timur
13.71.02.1005|Simpang Haru
13.71.02.1006|Kubu Marapalam
13.71.02.1007|Andalas
13.71.02.1008|Kubu Dalam Parak Karakah
13.71.02.1009|Parak Gadang Timur
13.71.02.1010|Ganting Parak Gadang
13.71.03|Padang Barat
13.71.03.1001|Flamboyan Baru
13.71.03.1002|Rimbo Kaluang
13.71.03.1003|Ujung Gurun
13.71.03.1004|Purus
13.71.03.1005|Padang Pasir
13.71.03.1006|Olo
13.71.03.1007|Kampung Jao
13.71.03.1008|Belakang Tangsi
13.71.03.1009|Kampung Pondok
13.71.03.1010|Berok Nipah
13.71.04|Padang Utara
13.71.04.1001|Air Tawar Timur
13.71.04.1002|Air Tawar Barat
13.71.04.1003|Ulak Karang Utara
13.71.04.1004|Ulak Karang Selatan
13.71.04.1005|Lolong Belanti
13.71.04.1006|Alai Parak Kopi
13.71.04.1007|Gunung Pangilun
13.71.05|Bungus Teluk Kabung
13.71.05.1001|Bungus Timur
13.71.05.1002|Bungus Barat
13.71.05.1003|Bungus Selatan
13.71.05.1004|Teluk Kabung Utara
13.71.05.1005|Teluk Kabung Tengah
13.71.05.1006|Teluk Kabung Selatan
13.71.06|Lubuk Begalung
13.71.06.1001|Cangkeh Nan XX
13.71.06.1002|Kampung Baru Nan XX
13.71.06.1003|Tanah Sirah Piai Nan XX
13.71.06.1004|Tanjung Saba Pitamen Nan XX
13.71.06.1005|Lubuk Begalung Nan XX
13.71.06.1006|Gurun Laweh Nan XX
13.71.06.1007|Tanjung Aua Nan XX
13.71.06.1008|Koto Baru Nan XX
13.71.06.1009|Banuaran Nan XX
13.71.06.1010|Parak Laweh Pulau Aia Nan XX
13.71.06.1011|Batung Taba Nan XX
13.71.06.1012|Pagambiran Ampalu Nan XX
13.71.06.1013|Pampangan Nan XX
13.71.06.1014|Gates Nan XX
13.71.06.1015|Kampung Jua Nan XX
13.71.07|Lubuk Kilangan
13.71.07.1001|Indarung
13.71.07.1002|Padang Besi
13.71.07.1003|Batu Gadang
13.71.07.1004|Bandar Buat
13.71.07.1005|Koto Lalang
13.71.07.1006|Baringin
13.71.07.1007|Tarantang
13.71.08|Pauh
13.71.08.1001|Limau Manis
13.71.08.1002|Koto Lua
13.71.08.1003|Limau Manis Selatan
13.71.08.1004|Piai Tangah
13.71.08.1005|Cupak Tangah
13.71.08.1006|Pisang
13.71.08.1007|Binuang Kampuang Dalam
13.71.08.1008|Kapalo Koto
13.71.08.1009|Lambung Bukik
13.71.09|Kuranji
13.71.09.1001|Pasar Ambacang
13.71.09.1002|Anduring
13.71.09.1003|Lubuk Lintah
13.71.09.1004|Ampang
13.71.09.1005|Kalumbuk
13.71.09.1006|Korong Gadang
13.71.09.1007|Kuranji
13.71.09.1008|Gunung Sarik
13.71.09.1009|Sungai Sapih
13.71.10|Nanggalo
13.71.10.1001|Surau Gadang
13.71.10.1002|Kampung Olo
13.71.10.1003|Kurao Pagang
13.71.10.1004|Gurun Laweh
13.71.10.1005|Tabing Banda Gadang
13.71.10.1006|Kampung Lapai
13.71.11|Koto Tangah
13.71.11.1001|Balai Gadang
13.71.11.1002|Lubuk Minturun
13.71.11.1003|Aie Pacah
13.71.11.1004|Dadok Tunggul Hitam
13.71.11.1005|Koto Panjang Ikua Koto
13.71.11.1006|Koto Pulai
13.71.11.1007|Batipuh Panjang
13.71.11.1008|Padang Sarai
13.71.11.1009|Lubuk Buaya
13.71.11.1010|Batang Kabung Ganting
13.71.11.1011|Bungo Pasang
13.71.11.1012|Parupuk Tabing
13.71.11.1013|Pasie Nan Tigo
13.72|KOTA SOLOK
13.72.01|Lubuk Sikarah
13.72.01.1001|Tanah Garam
13.72.01.1002|VI Suku
13.72.01.1003|Sinapa Piliang
13.72.01.1004|IX Korong
13.72.01.1005|Kampai Tabu Karambia
13.72.01.1006|Aro IV Korong
13.72.01.1007|Simpang Rumbio
13.72.02|Tanjung Harapan
13.72.02.1001|Koto Panjang
13.72.02.1002|Pasar Pandan Air Mati
13.72.02.1003|Tanjung Paku
13.72.02.1004|Nan Balimo
13.72.02.1005|Kampung Jawa
13.72.02.1006|Laing
13.73|KOTA SAWAHLUNTO
13.73.01|Lembah Segar
13.73.01.1001|Aur Mulio
13.73.01.1002|Kubang Sirakuk Utara
13.73.01.1003|Kubang S. Selatan
13.73.01.1004|Pasar
13.73.01.1005|Tanah Lapang
13.73.01.1006|Aia Dingin
13.73.01.2007|Lunto Timur
13.73.01.2008|Lunto Barat
13.73.01.2009|Kubang Tangah
13.73.01.2010|Kubang Utara Sikabu
13.73.01.2011|Pasa Kubang
13.73.02|Barangin
13.73.02.1001|Saringan
13.73.02.1002|Lubang Panjang
13.73.02.1003|Durian I
13.73.02.1004|Durian II
13.73.02.2005|Santua
13.73.02.2006|Kolok Mudiak
13.73.02.2007|Kolok Nan Tuo
13.73.02.2008|Talago Gunung
13.73.02.2009|Lumindai
13.73.02.2010|Balai Batu Sadara
13.73.03|Silungkang
13.73.03.2001|Silungkang Duo
13.73.03.2002|Silungkang Oso
13.73.03.2003|Silungkang Tigo
13.73.03.2004|Muaro Kalaban
13.73.03.2005|Taratak Boncah
13.73.04|Talawi
13.73.04.2001|Talawi Hilie
13.73.04.2002|Talawi Mudiak
13.73.04.2003|Bukit Gadang
13.73.04.2004|Batu Tanjung
13.73.04.2005|Kumbayau
13.73.04.2006|Tumpuk Tangah
13.73.04.2007|Data Mansiang
13.73.04.2008|Sijantang Koto
13.73.04.2009|Salak
13.73.04.2010|Sikalang
13.73.04.2011|Rantih
13.74|KOTA PADANG PANJANG
13.74.01|Padang Panjang Timur
13.74.01.1001|Ganting
13.74.01.1002|Sigando
13.74.01.1003|Ekor Lubuk
13.74.01.1004|Ngalau
13.74.01.1005|Guguk Malintang
13.74.01.1006|Koto Panjang
13.74.01.1007|Koto Katik
13.74.01.1008|Tanah Pak Lambik
13.74.02|Padang Panjang Barat
13.74.02.1001|Bukit Surungan
13.74.02.1002|Pasar Usang
13.74.02.1003|Kampung Manggis
13.74.02.1004|Silaing Bawah
13.74.02.1005|Silaing Atas
13.74.02.1006|Pasar Baru
13.74.02.1007|Tanah Hitam
13.74.02.1008|Balai-balai
13.75|KOTA BUKITTINGGI
13.75.01|Guguak Panjang
13.75.01.1001|Tarok Dipo
13.75.01.1002|Bukik Cangang/Kayu Rmg.
13.75.01.1003|Pakan Kurai
13.75.01.1004|Aur Tajungkang/Tgh. Sawah
13.75.01.1005|Benteng Pasar Atas
13.75.01.1006|Kayu Kubu
13.75.01.1007|Bukik Apik Puhun
13.75.02|Mandiangin K. Selayan
13.75.02.1001|Campago Guguk Bulek
13.75.02.1002|Campago Ipuh
13.75.02.1003|Puhun Tembok
13.75.02.1004|Kubu Gulai Bancah
13.75.02.1005|Puhun Pintu Kabun
13.75.02.1006|Pulai Anak Air
13.75.02.1007|Koto Selayan
13.75.02.1008|Garegeh
13.75.02.1009|Manggis/Ganting
13.75.03|Aur Birugo Tigo Baleh
13.75.03.1001|Aur Kuning
13.75.03.1002|Birugo
13.75.03.1003|Belakang Balok
13.75.03.1004|Sapiran
13.75.03.1005|Kubu Tanjung
13.75.03.1006|Pakan Labuh
13.75.03.1007|Parit Rantang
13.75.03.1008|Ladang Cakiah
13.76|KOTA PAYAKUMBUH
13.76.01|Payakumbuh Barat
13.76.01.1002|Pakan Sinayan
13.76.01.1003|Kubu Gadang
13.76.01.1004|Bulakan Balai Kandi
13.76.01.1005|Payolansek
13.76.01.1007|Talang
13.76.01.1009|Padang Tinggi Piliang
13.76.01.1011|Koto Tangah
13.76.01.1013|Subarang Batuang
13.76.01.1016|Parik Rantang
13.76.01.1017|Parak Batuang
13.76.01.1018|Nunang Daya Bangun
13.76.01.1020|Labuah Basilang
13.76.01.1021|Ibuah
13.76.01.1022|Tanjung Pauh
13.76.01.1032|Tanjuanggodang Sungaipinago
13.76.01.1033|Padangtongah Balainanduo
13.76.01.1034|Padangdata Tanahmati
13.76.02|Payakumbuh Utara
13.76.02.1002|Napar
13.76.02.1032|Ompang Tanah Sirah
13.76.02.1033|Taratak Padang Kampuang
13.76.02.1034|Tigo Koto Dibaruah
13.76.02.1035|Tigo Koto Diate
13.76.02.1036|Ikua Koto Dibalai
13.76.02.1037|Balai Tongah Koto
13.76.02.1038|Kapalo Koto Dibalai
13.76.02.1039|Kotokociak Kubu Tapakrajo
13.76.03|Payakumbuh Timur
13.76.03.1001|Balai Jaring
13.76.03.1002|Padang Alai Bodi
13.76.03.1003|Padang Tangah Payobadar
13.76.03.1005|Sicincin
13.76.03.1007|Padang Tiakar
13.76.03.1009|Payobasung
13.76.03.1010|Koto Panjang
13.76.03.1011|Koto Baru
13.76.03.1015|Tiakar
13.76.04|Lamposi Tigo Nagori
13.76.04.1001|Sungai Durian
13.76.04.1002|Parit Muko Aie
13.76.04.1003|Parambahan
13.76.04.1004|Padang Sikabu
13.76.04.1005|Koto Panjang Padang
13.76.04.1006|Koto Panjang Dalam
13.76.05|Payakumbuh Selatan
13.76.05.1001|Padang Karambia
13.76.05.1002|Kototuo Limokampuang
13.76.05.1003|Limbukan
13.76.05.1005|Balai Panjang
13.76.05.1006|Kapalo Koto Ampangan
13.76.05.1010|Sawahpadang Aua Kuniang
13.77|KOTA PARIAMAN
13.77.01|Pariaman Tengah
13.77.01.1001|Karan Aur
13.77.01.1002|Kampung Perak
13.77.01.1003|Lohong
13.77.01.1004|Pasir
13.77.01.1005|Kampung Pondok
13.77.01.1006|Pondok II
13.77.01.1007|Kampung Jawa I
13.77.01.1008|Kampung Jawa II
13.77.01.1009|Alai Gelombang
13.77.01.1010|Jawi Jawi I
13.77.01.1011|Jawi Jawi II
13.77.01.1012|Jalan Baru
13.77.01.1013|Taratak
13.77.01.1014|Jalan Kereta Api
13.77.01.1015|Ujung Batung
13.77.01.1016|Jati Hilir
13.77.01.2017|Pauh Barat
13.77.01.2018|Pauh Timur
13.77.01.2019|Rawang
13.77.01.2020|Kampung Baru
13.77.01.2021|Cimparuh
13.77.01.2025|Jati Mudik
13.77.02|Pariaman Utara
13.77.02.2005|Ampalu
13.77.02.2006|Apar
13.77.02.2007|Tanjung Sabar
13.77.02.2008|Cubadak Air Selatan
13.77.02.2009|Sikapak Barat
13.77.02.2010|Sikapak Timur
13.77.02.2011|Manggung
13.77.02.2012|Cubadak Air Utara
13.77.02.2013|Tungkal Selatan
13.77.02.2014|Naras Hilir
13.77.02.2015|Naras I
13.77.02.2016|Balai Naras
13.77.02.2017|Padang Birik Birik
13.77.02.2018|Sintuk
13.77.02.2019|Sungai Rambai
13.77.02.2020|Tungkal Utara
13.77.02.2021|Cubadak Air
13.77.03|Pariaman Selatan
13.77.03.2006|Pasir Sunur
13.77.03.2007|Balai Kurai Taji
13.77.03.2008|Pauh Kurai Taji
13.77.03.2009|Simpang
13.77.03.2010|Toboh Palabah
13.77.03.2011|Marabau
13.77.03.2012|Batang Tajongkek
13.77.03.2013|Sikabu
13.77.03.2014|Sungai Kasai
13.77.03.2015|Palak Aneh
13.77.03.2016|Kampung Apar
13.77.03.2017|Marunggi
13.77.03.2018|Taluk
13.77.03.2019|Padang Cakur
13.77.03.2020|Punggung Lading
13.77.03.2021|Rambai
13.77.04|Pariaman Timur
13.77.04.2001|Talago Sarik
13.77.04.2002|Pakasai
13.77.04.2003|Kampung Baru Padusunan
13.77.04.2004|Kampung Gadang
13.77.04.2005|Koto Marapak
13.77.04.2006|Batang Kabung
13.77.04.2007|Bato
13.77.04.2008|Air Santok
13.77.04.2009|Cubadak Mentawai
13.77.04.2010|Sungai Sirah
13.77.04.2011|Sungai Pasak
13.77.04.2012|Bungo Tanjung
13.77.04.2013|Kampung Tangah
13.77.04.2014|Kampung Kandang
13.77.04.2015|Kaluat
13.77.04.2016|Kajai
